2020-10-23 17:15:52.474 [Thread-7] WARN  com.teamtop.system.zcBoss.ZcBossHeroManager - JoinersMap().containsKey(hero.getId()) hid:1000100000000078
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350301
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350107
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350108
2020-10-23 17:56:08.527 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:200001
2020-10-23 17:56:08.527 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750024
2020-10-23 17:56:08.528 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750025
2020-10-23 17:56:08.528 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750026
2020-10-23 17:56:08.529 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750027
2020-10-23 17:56:08.532 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750028
2020-10-23 17:56:08.532 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750029
2020-10-23 17:56:08.532 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750030
2020-10-23 17:56:08.532 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750031
2020-10-23 17:56:08.532 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750032
2020-10-23 17:56:08.533 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750033
2020-10-23 17:56:08.533 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750034
2020-10-23 17:56:08.533 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750035
2020-10-23 17:56:08.611 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350004
2020-10-23 17:56:08.611 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350005
2020-10-23 17:56:08.611 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350006
2020-10-23 17:56:08.612 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350101
2020-10-23 17:56:08.612 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350102
2020-10-23 17:56:08.612 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350301
2020-10-23 17:56:08.621 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350004
2020-10-23 17:56:08.621 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350005
2020-10-23 17:56:08.621 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350006
2020-10-23 17:56:08.621 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350101
2020-10-23 17:56:08.621 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350102
2020-10-23 17:56:08.622 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350106
2020-10-23 17:56:08.622 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350104
2020-10-23 17:56:08.622 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350301
2020-10-23 17:56:08.639 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350004
2020-10-23 17:56:08.640 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350005
2020-10-23 17:56:08.640 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350006
2020-10-23 17:56:08.640 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350101
2020-10-23 17:56:08.640 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350102
2020-10-23 17:56:08.681 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350104
2020-10-23 17:56:08.681 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350106
2020-10-23 17:56:08.681 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350301
2020-10-23 17:56:08.681 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350108
2020-10-23 17:56:08.681 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350103
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350004
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350005
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350006
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350101
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350102
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350103
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350104
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350106
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350301
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350107
2020-10-23 17:56:08.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350108
2020-10-23 17:56:16.000 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.000 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.032 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.032 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.032 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.032 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.032 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.032 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.047 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.047 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.047 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.047 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.047 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.047 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.796 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.836 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.852 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.883 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.899 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.899 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.899 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:16.899 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.555 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.555 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.570 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.570 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.570 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.570 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.570 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.570 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:17.993 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.008 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.008 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.571 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.571 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.571 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.571 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.571 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.571 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.571 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:18.586 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.196 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.196 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.196 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.227 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.227 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.227 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.774 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.774 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.774 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.774 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.774 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.774 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.774 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.805 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.805 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.805 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.805 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.805 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.805 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:19.805 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.383 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.383 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.383 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.383 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.383 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.383 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.446 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.446 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.446 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.446 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.446 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.446 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.836 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.836 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.836 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.885 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.885 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:20.885 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.384 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.384 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.384 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.384 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.384 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.384 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.399 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.446 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.446 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.446 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.446 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.462 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.462 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.462 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.821 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.821 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.821 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.821 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.836 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.868 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-23 17:56:21.868 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
