2020-10-27 16:13:47.780 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.scene.SceneFunction - hid: 1000100000000005name 世家丿非宸.S1exitScene get sceneEvent is null,sceneSysId:0
2020-10-27 16:56:23.497 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.firstRechargeNew.FirstRechargeNewFunction - FirstRechargeNewFunction firstRecharge hid=1000100000000005, pid=110
2020-10-27 16:56:23.499 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.500 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.event.useAddEvent.UseAddUtil - GameConst.huobiMap can not find3,type:28
2020-10-27 16:56:23.500 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.firstRechargeNew.FirstRechargeNewFunction - FirstRechargeNewFunction firstRecharge hid=1000100000000005, pid=110
2020-10-27 16:56:23.501 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.502 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.503 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.event.useAddEvent.UseAddUtil - GameConst.huobiMap can not find3,type:28
2020-10-27 16:56:23.503 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.firstRechargeNew.FirstRechargeNewFunction - FirstRechargeNewFunction firstRecharge hid=1000100000000005, pid=110
2020-10-27 16:56:23.504 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.505 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.506 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.event.useAddEvent.UseAddUtil - GameConst.huobiMap can not find3,type:28
2020-10-27 16:56:23.506 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.firstRechargeNew.FirstRechargeNewFunction - FirstRechargeNewFunction firstRecharge hid=1000100000000005, pid=110
2020-10-27 16:56:23.508 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.508 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.509 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.event.useAddEvent.UseAddUtil - GameConst.huobiMap can not find3,type:28
